nom,description,lien,image
12 Midnight,,https://www.youtube.com/watch?v=Bi2VT1ANg0k,
A day,,https://www.youtube.com/watch?v=BUQ3znHFZcU,
A fairy tail of youth,,https://www.youtube.com/watch?v=hTOoe9gYgbk,
Adrenaline,,https://www.youtube.com/watch?v=vqkfEUqjl6Y,
All About You,,https://www.youtube.com/watch?v=x95Kc_Ry8kM,
Answer,,https://www.youtube.com/watch?v=yW7wZX3DUaY,
Answer (Ode To Joy),,https://www.youtube.com/watch?v=_Agjk5K6Nd8,
Arriba,,https://www.youtube.com/results?search_query=ATEEZ+%22Arriba%22+official+audio,
Ash,,https://www.youtube.com/watch?v=QPCvaiYTpB4,
AURORA,,https://www.youtube.com/watch?v=7wcM9Eq3UbI,
AUTOBAHN,,https://www.youtube.com/results?search_query=ATEEZ+%22AUTOBAHN%22+official+audio,
BAD,,https://www.youtube.com/watch?v=-q_S27LbNKU,
Be alright,,https://www.youtube.com/results?search_query=ATEEZ+%22Be+alright%22+official+audio,
Be my lover,,https://www.youtube.com/results?search_query=ATEEZ+%22Be+my+lover%22+official+audio,
Be With You,,https://www.youtube.com/watch?v=uKkut0RbWIs,
Beginning of the End,,https://www.youtube.com/watch?v=tXq8sAurgPQ,
Better (Korean Version),,https://www.youtube.com/watch?v=eUloGWHblRs,
Birthday,,https://www.youtube.com/watch?v=H5AtTIXTbGg,
Blind,,https://www.youtube.com/watch?v=RddYA7D2UXg,
Blue Summer,,https://www.youtube.com/watch?v=iJum1EZ6zg0,
Body,,https://www.youtube.com/watch?v=2QXLW2AG1h4,
BOUNCY (K-HOT CHILLI PEPPERS),,https://www.youtube.com/watch?v=U0G5OA6ZH5w,
Bridge : The Edge of Reality,,https://www.youtube.com/watch?v=DRg3LFaQKnE,
Call me anytime,,https://www.youtube.com/watch?v=5X8Qn23FRMA,
Castle,,https://www.youtube.com/results?search_query=ATEEZ+%22Castle%22+official+audio,
Celebrate,,https://www.youtube.com/results?search_query=ATEEZ+%22Celebrate%22+official+audio,
Choose,,https://www.youtube.com/watch?v=p119468NiY0,
Crazy Form,,https://www.youtube.com/watch?v=9t57C7NcjWo,
Creep,,https://www.youtube.com/results?search_query=ATEEZ+%22Creep%22+official+audio,
Crescendo,,https://www.youtube.com/results?search_query=ATEEZ+%22Crescendo%22+official+audio,
Crescent,,https://www.youtube.com/results?search_query=ATEEZ+%22Crescent%22+official+audio,
Crescent Part.2,,https://www.youtube.com/results?search_query=ATEEZ+%22Crescent+Part.2%22+official+audio,
Cyberpunk,,https://www.youtube.com/results?search_query=ATEEZ+%22Cyberpunk%22+official+audio,
Dancing Like Butterfly Wings,,https://www.youtube.com/results?search_query=ATEEZ+%22Dancing+Like+Butterfly+Wings%22+official+audio,
Days,,https://www.youtube.com/results?search_query=ATEEZ+%22Days%22+official+audio,
Dazzling Light,,https://www.youtube.com/results?search_query=ATEEZ+%22Dazzling+Light%22+official+audio,
Dear Diary : 2016.07.29,,https://www.youtube.com/results?search_query=ATEEZ+%22Dear+Diary+%3A+2016.07.29%22+official+audio,
DEEP DIVE,,https://www.youtube.com/results?search_query=ATEEZ+%22DEEP+DIVE%22+official+audio,
Deja Vu,,https://www.youtube.com/watch?v=nlnMDttgTbk,
Desire,,https://www.youtube.com/results?search_query=ATEEZ+%22Desire%22+official+audio,
Diamond,,https://www.youtube.com/results?search_query=ATEEZ+%22Diamond%22+official+audio,
Dinero,,https://www.youtube.com/results?search_query=ATEEZ+%22Dinero%22+official+audio,
DJANGO,,https://www.youtube.com/results?search_query=ATEEZ+%22DJANGO%22+official+audio,
Don't Stop,,https://www.youtube.com/results?search_query=ATEEZ+%22Don%27t+Stop%22+official+audio,
Dreamers,,https://www.youtube.com/results?search_query=ATEEZ+%22Dreamers%22+official+audio,
Dreamy Day,,https://www.youtube.com/results?search_query=ATEEZ+%22Dreamy+Day%22+official+audio,
DUNE,,https://www.youtube.com/results?search_query=ATEEZ+%22DUNE%22+official+audio,
Emergency,,https://www.youtube.com/results?search_query=ATEEZ+%22Emergency%22+official+audio,
Empty Box,,https://www.youtube.com/results?search_query=ATEEZ+%22Empty+Box%22+official+audio,
End of the Beginning,,https://www.youtube.com/results?search_query=ATEEZ+%22End+of+the+Beginning%22+official+audio,
Enough,,https://www.youtube.com/results?search_query=ATEEZ+%22Enough%22+official+audio,
Eternal Sunshine,,https://www.youtube.com/watch?v=WJgTnDAmJHc,
Everything (Jongho),,https://www.youtube.com/results?search_query=ATEEZ+%22Everything+%28Jongho%29%22+official+audio,
FACE,,https://www.youtube.com/results?search_query=ATEEZ+%22FACE%22+official+audio,
Fallin',,https://www.youtube.com/results?search_query=ATEEZ+%22Fallin%27%22+official+audio,
Feeling Like I Do,,https://www.youtube.com/results?search_query=ATEEZ+%22Feeling+Like+I+Do%22+official+audio,
FEVER,,https://www.youtube.com/results?search_query=ATEEZ+%22FEVER%22+official+audio,
FIN : WILL,,https://www.youtube.com/results?search_query=ATEEZ+%22FIN+%3A+WILL%22+official+audio,
Fireworks (I'm The One),,https://www.youtube.com/watch?v=xtcVwuauVV0,
Forevermore,,https://www.youtube.com/results?search_query=ATEEZ+%22Forevermore%22+official+audio,
From,,https://www.youtube.com/results?search_query=ATEEZ+%22From%22+official+audio,
Ghost,,https://www.youtube.com/results?search_query=ATEEZ+%22Ghost%22+official+audio,
Golden Hour,,https://www.youtube.com/results?search_query=ATEEZ+%22Golden+Hour%22+official+audio,
Good Lil Boy,,https://www.youtube.com/results?search_query=ATEEZ+%22Good+Lil+Boy%22+official+audio,
Gravity,,https://www.youtube.com/results?search_query=ATEEZ+%22Gravity%22+official+audio,
Guerrilla,,https://www.youtube.com/watch?v=2HcVZm_4qAI,
